URL,SEO Score,UI Score,UI Quality,Performance,Accessibility,Best Practices,Technology,Issues,Lead Score,Lead Reason,Pages Scanned,Emails,Phone Numbers,Contact Pages,Visual Score,Visual Quality,Visual Assessment,Visual Issues,Design Score,Design Issues,Brightness,Contrast,Color Diversity,Layout Complexity
https://www.cartopia46.com/contact.htm,N/A,5,Very Poor,N/A,N/A,N/A,"React, Bootstrap, jQuery","Moderate inline styles (28 occurrences), Not Mobile Friendly (No viewport)",70,Poor UI + Low SEO visibility + Not Mobile Friendly,1,N/A,"201-817-6441, 201-777-4880",3,90,Excellent,"Modern, professional design with best practices","['Very dark theme - may affect readability', 'Excessive color variety - inconsistent design', 'Very simple layout - may lack structure', 'No viewport meta tag - not mobile responsive', 'Very dark theme']",99,"['No viewport meta tag - not mobile responsive', 'Very dark theme']",51,56,100,32
https://www.tomwood.com/car-dealership-serving-columbus-in.htm,N/A,5,Very Poor,N/A,N/A,N/A,"React, Bootstrap, jQuery","Deprecated <center> tags, Embedded iframe (old UX), Heavy inline styles (40 occurrences), Not Mobile Friendly (No viewport)",70,Poor UI + Low SEO visibility + Not Mobile Friendly,1,N/A,"317-688-6160, 317-853-3936, 317-853-3888, 812-308-4614, 317-795-0943",3,90,Excellent,"Modern, professional design with best practices","['Excessive color variety - inconsistent design', 'No viewport meta tag - not mobile responsive']",100,['No viewport meta tag - not mobile responsive'],210,71,100,100
https://www.goluxuryauto.com/contact.htm,N/A,5,Very Poor,N/A,N/A,N/A,"React, Bootstrap, jQuery","Deprecated <font> tags, Heavy inline styles (52 occurrences), Not Mobile Friendly (No viewport)",70,Poor UI + Low SEO visibility + Not Mobile Friendly,1,N/A,"469-630-6674, 469-529-8243",3,92,Excellent,"Modern, professional design with best practices","['Excessive color variety - inconsistent design', 'Very simple layout - may lack structure', 'No viewport meta tag - not mobile responsive', 'Uses deprecated <font> tags with face attribute']",99,"['No viewport meta tag - not mobile responsive', 'Uses deprecated <font> tags with face attribute']",91,105,100,42
https://www.tomwoodhonda.com/frequently-asked-car-dealer-questions.htm,N/A,5,Very Poor,N/A,N/A,N/A,"React, Bootstrap, jQuery",Not Mobile Friendly (No viewport),70,Poor UI + Low SEO visibility + Not Mobile Friendly,1,N/A,"855-260-5434, 855-289-3104, 855-263-7702, 765-203-0007, 765-203-0005",3,90,Excellent,"Modern, professional design with best practices","['Excessive color variety - inconsistent design', 'No viewport meta tag - not mobile responsive']",100,['No viewport meta tag - not mobile responsive'],206,69,100,100
https://www.dealercarsearch.com/,65,43,Poor,N/A,N/A,N/A,Next.js,"Embedded iframe (old UX), High image density (31 images), On terms-of-service: Missing <title> tag, Missing H1 header, On products: Missing <title> tag, Missing H1 header, On dealer-car-search-demo: Missing <title> tag, Missing H1 header, On support: Missing <title> tag, Missing H1 header",50,General improvement needed,5,N/A,"326-8413502, (502) 326-8413",1,91,Excellent,"Modern, professional design with best practices",['Very simple layout - may lack structure'],100,[],234,35,58,53
https://www.pellegrinoautosales.com/contact.htm,N/A,5,Very Poor,N/A,N/A,N/A,"React, Bootstrap, jQuery","Deprecated <font> tags, Deprecated <center> tags, Moderate inline styles (18 occurrences), Not Mobile Friendly (No viewport)",70,Poor UI + Low SEO visibility + Not Mobile Friendly,1,N/A,585-344-2658,3,90,Excellent,"Modern, professional design with best practices","['Excessive color variety - inconsistent design', 'No viewport meta tag - not mobile responsive']",100,['No viewport meta tag - not mobile responsive'],207,83,100,100
https://www.westcottmazda.com/contact.htm,N/A,5,Very Poor,N/A,N/A,N/A,"React, Bootstrap, jQuery","Deprecated <font> tags, Heavy inline styles (33 occurrences), Not Mobile Friendly (No viewport)",70,Poor UI + Low SEO visibility + Not Mobile Friendly,1,N/A,"888-865-5415, (619)474-1591, 619-474-1591",3,94,Excellent,"Modern, professional design with best practices","['Excessive color variety - inconsistent design', 'Very simple layout - may lack structure', 'No viewport meta tag - not mobile responsive']",100,['No viewport meta tag - not mobile responsive'],123,98,100,63
https://www.fargohyundai.com/contact.htm,N/A,5,Very Poor,N/A,N/A,N/A,"React, Bootstrap, jQuery","Heavy inline styles (45 occurrences), Not Mobile Friendly (No viewport)",70,Poor UI + Low SEO visibility + Not Mobile Friendly,1,accessibility@hmausa.com,"701-282-5522, 701-277-4578, 800-633-5151",3,94,Excellent,"Modern, professional design with best practices","['Excessive color variety - inconsistent design', 'Very simple layout - may lack structure', 'No viewport meta tag - not mobile responsive']",100,['No viewport meta tag - not mobile responsive'],130,101,100,65
https://www.reidsvillenissan.com/contact.htm,N/A,5,Very Poor,N/A,N/A,N/A,"React, Bootstrap, jQuery","Heavy inline styles (48 occurrences), Not Mobile Friendly (No viewport)",70,Poor UI + Low SEO visibility + Not Mobile Friendly,1,N/A,"+1336-329-3162, 434-616-2493",3,94,Excellent,"Modern, professional design with best practices","['Excessive color variety - inconsistent design', 'No viewport meta tag - not mobile responsive']",100,['No viewport meta tag - not mobile responsive'],129,102,100,44
https://www.loebermercedes.com/contact-mercedes-benz-dealer-lincolnwood-il,N/A,34,Very Poor,N/A,N/A,N/A,"Bootstrap, WordPress, jQuery","Mixed table + modern layout, Deprecated <font> tags, Embedded iframe (old UX)",57,Poor UI + Low SEO visibility,1,N/A,"847-933-7763, 847-675-1000, 847-933-7762, 800-367-6372",3,91,Excellent,"Modern, professional design with best practices","['Excessive color variety - inconsistent design', 'Uses table-based layout']",100,['Uses table-based layout'],195,92,100,100
